,emotion,selection0,selection1,label
3482,"['offended', 'neglected', 'unimpressed', 'sad', 'rejected']",I did not get home until January of 2012.,His girlfriend was not very impressed by it.,1
3483,"['excited', 'happy', 'relieved', 'satisfied', 'clever', 'hopeful', 'concerned', 'proud']",They decided to become best friends.,Our sales on this merchandise tripled in just a few hours.,1
3484,"['startled', 'scared', 'disappointed', 'awe', 'nervous', 'unlucky', 'embarrassed', 'guilty']",Oliver spent the afternoon playing outside.,The deer was eating and did not move until Jack sneezed.,1
3485,"['overwhelmed', 'angry', 'bored']","Suddenly, he realized he was late.","If there was none to do, she had to read.",1
3486,"['satisfied', 'proud', 'determined', 'hopeful', 'bored', 'exhilarated', 'good']",One day Fred started his final project.,The next time he played his brother he beat him at last!,0
3487,"['happy', 'relaxed', 'satisfied']",Sadie was at lunch with her friends.,She books a train to Barcelona instead.,0
3488,"['hungry', 'silly', 'satiated']",I had to eat the soup by drinking it.,I tried to find the instructions but I must have thrown them away.,0
3489,"['terrible', 'depressed', 'sad', 'sadness', 'fear']","Over a bucket of chicken, they laughed, shared, and felt like family.",The girl's dog had been hit by a car and was dead.,1
3490,"['grateful', 'happy']",She moved just next door to the vacant apartment.,Daniel was excited to get a remote control boat for his birthday.,1
3491,"['sad', 'unhappy']",Darren had been split up with his wife for three years.,He waited for an hour but the pizza never arrived.,0
3492,"['determined', 'competitive']",Ken decided to avoid giving speeches in the future.,"She trained daily, for many years.",1
3493,"['desire', 'determined', 'proud']",She tells me that I am overweight and that my son is heavy.,A chef was almost finished cooking some food and needed a dish.,1
3494,"['afraid', 'embarrassed']",His friends called him chicken.,Amy meant to clean the mess up before she fell asleep.,0
3495,"['nervous', 'annoyed', 'rushed', 'prepared']",Bill quickly hopped out and got his spare from the trunk.,I smiled at him and continued walking.,0
3496,"['competent', 'impressive', 'productive']",He learns all the latest moves.,John was out of food and water.,0
3497,"['pain', 'worried', 'anxious']","She tried medication for her panic attacks, but they didn't help.",Tom loved an old song.,0
3498,"['remorseful', 'scared', 'surprised']",But Eric was too tired from the noise and he slept through them all.,The truck rolled back into the street.,1
3499,"['diligent', 'frustrated', 'anxious', 'confident']",He went to the hardware store to buy more.,Instead she said she was sick and went to the doctor.,0
3500,"['surprised', 'stunned']","One day, she asked me to adopt her baby, because I bonded with her.",Andrea decided s'mores were a bad idea.,0
3501,"['neutral', 'interested']",He had brought his metal detector.,Ray finished his segment and took a bow.,0
3502,"['heartbroken', 'sad', 'sympathetic']",I found out he had Alzheimer's disease.,He learned about Native Americans.,0
3503,"['determined', 'driven', 'inferior', 'dedicated']",He worked out hard for three years.,Name after name was called out as workers got their reward.,0
3504,['proud'],After lots of practice she became quite good.,One day we were pulled over for speaking.,0
3505,"['excited', 'anticipation']",She got a call one night that was very difficult.,Fran just landed in Thailand for her grand one month trip abroad.,1
3506,"['upset', 'desperate', 'ideation']",She decided to major in history in college.,Her current ones were splitting.,1
3507,"['disappointed', 'stupid']",Investigating she saw a big water spot from the bottle spilling.,"I put all my information in, and then waited.",0
3508,"['prepared', 'nice', 'nervous', 'proud', 'hopeful']",The things they did didn't make sense to me.,He got onto the stage and began to play.,1
3509,"['proud', 'joyful', 'excited', 'determined', 'happy', 'annoyed']",We will play again tonight.,Tom was a boxer.,0
3510,"['afraid', 'nervous', 'embarrassed', 'worried']",But she struggled to stay afloat.,My grandfather taught me karate.,0
3511,"['ashamed', 'shocked', 'concerned', 'frustrated']",On moving day friends and family showed up to help.,The button behind her skirt had broken.,1
3512,"['joy', 'happy', 'excited']",After all of my hard work I became a professional baseball player!,Amy was excited about being in her school marching band.,1
3513,"['surprised', 'fear']",Amy decided not to walk Spot on roller blades again.,He never learned how to blow them.,0
3514,"['annoyed', 'sassy', 'cocky', 'silly', 'funny', 'embarrassed']",I said nobody was there because of me.,Norman walked up to Charlie and punched him in the eye.,0
3515,"['sad', 'menacing', 'fright', 'angry', 'scared', 'nervous', 'fear', 'terrified']","Beth screamed, ""GO AWAY!""",In the middle of it he accidentally started to put the top down.,0
3516,"['unhappy', 'insulted', 'humiliated', 'pissed', 'shame', 'stress', 'helplessness', 'sad']",Hernandez loved to go camping.,Dan was so embarrassed with the behavior of his daughter.,1
3517,['happy'],I was playing the game at a beach early in the morning.,Nick wanted a new car.,0
3518,"['upset', 'confused', 'outraged']",Then I had to learn how to deal with boat wakes.,She didn't know where they went.,1
3519,"['frustrated', 'rest', 'tired', 'angry', 'adventurous', 'annoyed']",The two girls decided to trade knowledge together.,"When Pat wanted to rest, Rick wanted to explore.",1
3520,"['special', 'motivated', 'grateful', 'excited', 'responsible']",She did not want to disappoint her date.,Danny hired a band for his wedding.,1
3521,"['scared', 'adventurous', 'happy']",So the next time he brought an umbrella.,The kids walked down to the woods.,1
3522,"['regretful', 'guilty', 'frustrated', 'disappointed']",Cameron looked outside the open door of the plane.,"Eventually, I developed diabetes.",1
3523,"['excited', 'determined']",She saw an ad for a schoolwide joke contest.,Brian had a baseball he loved to play with.,0
3524,"['relaxed', 'happy']",Lindsay had a day off and wanted to go to the park.,One day Jim made some hot sauce.,0
3525,"['scared', 'happy', 'accomplished']",It had springs.,David decided to walk to a park.,0
3526,"['fear', 'upset', 'angry', 'worried']",Cole jumped into a puddle of mud by the entrance.,"When I got home, I couldn't find my cell phone.",1
3527,"['afraid', 'scared', 'anxious']",Jaiden was nervous about moving to a new home.,Gina had decide if she would sit with them or sit alone.,0
3528,"['remorse', 'frustrated', 'intrigued']",She needed to pay.,The economy went in the bucket.,1
3529,"['angry', 'sad', 'disappointed', 'exploration', 'compromising']",She planted new ones.,"Julie is sad, but has always wanted to visit Spain.",1
3530,"['upset', 'frustrated', 'anger', 'disappointed', 'dumb', 'apathetic', 'dutiful', 'abandoned']",That  mechanic did not replace seals.,"He decided to call it, a window!",0
3531,"['excited', 'smart', 'adventurous', 'playful']",During her senior year she able to apply to graduate schools.,They tried finding the best hiding places.,1
3532,"['protective', 'alert', 'sympathetic', 'fearful', 'scared', 'anxious', 'nervous']",She was hesitant and afraid.,She finally settles on a meal replacement drink to start.,0
3533,"['relieved', 'sad', 'guilty', 'annoyed', 'competent', 'determined']",After a month Drew realized he was very lonely.,"So, Sam rode his bike the ten miles to his pal's house.",1
3534,"['eager', 'happy', 'united', 'connected', 'excited']",Those were very fun and memorable times for sure!,Today I played 4 speed chess games with my friend.,0
3535,"['anxious', 'scared']",Gale was nervous because he had not finished filing his taxes.,She even neglected her hygiene.,0
3536,"['useful', 'bored', 'stressed', 'annoyed']",My wife brought the car in for service today.,I finally opened the email and responded.,0
3537,"['talkative', 'annoyed']","People were sympathetic at first, but George wouldn't stop.",While on her way to school Mary's backpack broke.,0
3538,"['relaxed', 'wanting']",We watched a show about traveling in France.,I looked all over for the iPhone 6 cases.,0
3539,['ecstatic'],He hit the putt and sunk it!,Everyone loved his dancing and he won the contest.,0
3540,"['anticipation', 'happy', 'relaxed', 'love', 'safe', 'joy', 'excited']",After mulling it over the owner decided not to sell.,"When mama gets done with the dishes, they change into their suits.",1
3541,"['angry', 'frustrated', 'sad', 'failure']",He had to stay an extra semester.,The guy never told his girlfriend he cheated.,0
3542,"['hurried', 'rushed', 'indifferent', 'anticipation']",They started to date.,Whitney had to get to the bank.,1
3543,"['proud', 'competent', 'happy', 'intrigued', 'accomplished']",They couldn't decided on which outdoor activity.,Sue's photographs impressed many of her friends.,1
3544,"['anticipation', 'frustrated', 'eager', 'upset']",One guest had not by the appointed start of dinner.,"Six months later, the skinny guy could bench press 200 lbs!",0
3545,"['aggravated', 'disgusted']",She had to throw everything out and start over.,She bought all the items needed for s'mores.,0
3546,"['joy', 'excited', 'anxious']",Ramon would now dance during dinner events.,"He had dinner with Anne, a woman he met online.",1
3547,"['elated', 'jubilant', 'amazed', 'happy', 'fun', 'lucky']",He saw an ad for the job and called immediately.,He took her to dinner the next day.,1
3548,['happy'],I liked to pack things up.,She felt ready for her new adventure.,0
3549,"['invigorated', 'great', 'clean']",It made me feel a lot better.,My friends came over and we played video games.,0
3550,"['excited', 'happy', 'amused']",He lays down to take a nap.,Finally Tina hid in the bathroom.,1
3551,"['proud', 'flattered', 'excited', 'happy', 'interested', 'satisfied']",Sara was flattered that someone would pay for her art.,She finally had enough.,0
3552,"['focused', 'smart', 'astute']",There was a concert last week near my work.,Jeff was studying in a library.,1
3553,"['happy', 'positive']",A boy pick up a rock at the beach.,He decided to get it done at a charity instead of himself.,0
3554,"['sad', 'disappointed', 'annoyed', 'impatient']",He felt tired after he vomited.,I became impatient and ended the chat.,1
3555,"['comfort', 'presentable', 'disgusted']",He found a sweatshirt to cover himself and went for his walk.,He tried on many different jeans.,0
3556,"['love', 'sympathetic', 'ecstatic', 'happy', 'relieved']",She adopted Reno.,One child saw this action and was drawn into the monkey.,0
3557,"['surprised', 'proud']","Jack's scared when she tells him the man is a cop, not her attacker,",Alan decided he must have some really great ideas.,1
3558,"['joy', 'happy']",They were at a local pool.,It had been a great day!,1
3559,"['sad', 'worried', 'fear', 'mad', 'embarrassed']","He yelped in pain, then left the school and treated his injury.","Since her hair became uneven, Brianna had to get a haircut.",0
3560,['responsible'],She would crush all her cans.,Lea sat on the couch and ate lots of potato chips while watching.,0
3561,"['anxious', 'informed']",They needed to know when their exams were.,He swum from the morning to the night.,0
